T_MAX: 100
NUM_EPISODES: 1000
GAMMA: 0.95
REWARD_THRESHOLD: 0.9
N: 500


Columns: Iteration | Reward
0	-100
1	-100
2	12
3	10
4	8
5	11
6	7
7	15
8	6
9	12
10	6
11	10
12	8
13	8
14	10
15	7
16	11
17	10
18	6
19	8
20	5
21	7
22	9
23	5
24	10
25	9
26	5
27	3
28	9
29	3
30	5
31	11
32	7
33	5
34	7
35	7
36	6
37	8
38	11
39	12
40	7
41	10
42	9
43	-100
44	5
45	11
46	4
47	5
48	8
49	8
50	7
51	7
52	7
53	13
54	-100
55	6
56	5
57	8
58	5
59	11
60	10
61	5
62	7
63	9
64	9
65	7
66	3
67	7
68	12
69	12
70	14
71	5
72	7
73	11
74	4
75	8
76	6
77	5
78	8
79	8
80	7
81	8
82	5
83	8
84	13
85	9
86	8
87	8
88	8
89	7
90	5
91	10
92	6
93	8
94	8
95	13
96	8
97	5
98	5
99	9
100	8
101	10
102	-100
103	-100
104	5
105	6
106	7
107	11
108	7
109	7
110	8
111	12
112	9
113	13
114	5
115	7
116	10
117	6
118	4
119	7
120	7
121	5
122	9
123	-100
124	7
125	9
126	11
127	14
128	10
129	6
130	8
131	8
132	7
133	8
134	13
135	10
136	13
137	10
138	10
139	6
140	11
141	10
142	4
143	7
144	9
145	8
146	5
147	6
148	4
149	7
150	8
151	11
152	8
153	11
154	14
155	14
156	13
157	10
158	7
159	6
160	7
161	6
162	9
163	7
164	12
165	15
166	5
167	4
168	6
169	12
170	8
171	10
172	9
173	9
174	3
175	6
176	11
177	9
178	7
179	15
180	5
181	12
182	11
183	7
184	13
185	8
186	15
187	12
188	10
189	4
190	10
191	7
192	7
193	5
194	10
195	10
196	8
197	5
198	11
199	10
200	8
201	6
202	7
203	8
204	7
205	13
206	10
207	11
208	8
209	6
210	4
211	11
212	12
213	7
214	7
215	10
216	11
217	10
218	6
219	11
220	6
221	8
222	10
223	9
224	8
225	11
226	9
227	5
228	11
229	5
230	6
231	7
232	8
233	10
234	11
235	8
236	5
237	8
238	6
239	8
240	7
241	9
242	5
243	12
244	15
245	9
246	4
247	10
248	5
249	12
250	9
251	5
252	8
253	9
254	-100
255	9
256	-100
257	11
258	11
259	5
260	9
261	4
262	12
263	4
264	6
265	5
266	8
267	9
268	6
269	5
270	6
271	12
272	10
273	7
274	9
275	7
276	3
277	8
278	13
279	8
280	11
281	10
282	13
283	12
284	9
285	7
286	13
287	9
288	5
289	9
290	-100
291	14
292	7
293	8
294	12
295	8
296	6
297	7
298	10
299	14
300	7
301	9
302	7
303	6
304	10
305	9
306	4
307	12
308	7
309	5
310	10
311	7
312	11
313	6
314	8
315	7
316	9
317	6
318	7
319	6
320	8
321	8
322	6
323	4
324	7
325	7
326	5
327	7
328	10
329	9
330	5
331	9
332	9
333	6
334	8
335	5
336	9
337	9
338	6
339	9
340	9
341	13
342	7
343	9
344	14
345	8
346	7
347	9
348	12
349	5
350	-100
351	6
352	6
353	9
354	13
355	9
356	10
357	-100
358	7
359	6
360	7
361	10
362	8
363	7
364	9
365	6
366	10
367	9
368	9
369	-100
370	-100
371	5
372	9
373	5
374	10
375	8
376	5
377	4
378	7
379	10
380	13
381	9
382	8
383	10
384	4
385	11
386	9
387	6
388	10
389	10
390	8
391	8
392	11
393	5
394	12
395	-100
396	7
397	9
398	8
399	9
400	10
401	10
402	14
403	6
404	12
405	7
406	4
407	10
408	6
409	8
410	7
411	6
412	5
413	11
414	7
415	7
416	11
417	7
418	7
419	7
420	11
421	-100
422	8
423	12
424	-100
425	5
426	10
427	9
428	8
429	6
430	10
431	11
432	7
433	9
434	9
435	7
436	8
437	8
438	8
439	9
440	9
441	6
442	9
443	4
444	7
445	9
446	7
447	7
448	-100
449	6
450	5
451	9
452	11
453	6
454	-100
455	9
456	8
457	5
458	7
459	5
460	11
461	9
462	9
463	7
464	7
465	-100
466	6
467	8
468	7
469	7
470	12
471	8
472	9
473	9
474	8
475	8
476	10
477	6
478	14
479	6
480	8
481	9
482	6
483	15
484	9
485	9
486	11
487	5
488	3
489	10
490	9
491	11
492	9
493	11
494	7
495	6
496	7
497	8
498	11
499	5
